51.75,24.75,51.5,25.25
51.5,25.25,50.5,25.25
54.75,24.75,55,25.25
56,25.25,56.25,24.75
56,25.25,55,25.25
61.25,25.25,61.5,25.75
62.5,25.75,62.75,25.25
62.5,25.75,61.5,25.75
65.25,22.75,65.75,22.5
65.75,21.5,65.25,21.25
65.75,21.5,65.75,22.5
64.75,18.25,64.75,17.75
64.75,16.25,64.75,15.75
64.75,17.75,65.25,17.5
65.25,16.5,64.75,16.25
65.25,16.5,65.25,17.5
23.75,15.75,31.75,15.75
27.25,18.25,23.75,18.25
25.75,18.25,25.75,17.75
25.75,15.75,25.75,16.25
25.75,17.75,25,17.75
25.75,16.25,25,16.25
41.25,15.75,41.25,15.25
42.25,15.75,42.25,15.25
42.25,15.75,45.75,15.75
45.75,15.75,45.75,15.25
46.75,15.75,46.75,15.25
46.75,15.75,50.25,15.75
50.25,15.75,50.25,15.25
51.25,15.75,51.25,15.25
51.25,15.75,54.75,15.75
54.75,15.75,54.75,15.25
55.75,15.75,55.75,15.25
64.75,15.75,64.25,15.75
64.25,15.75,64.25,15.25
63.25,15.75,55.75,15.75
63.25,15.75,63.25,15.25
64.25,15.25,64.75,15.25
42.25,15.25,43.75,15.25
45.75,15.25,44.25,15.25
43.75,15.25,43.75,8.75
43.75,8.75,42.25,8.75
39.75,15.25,39.75,13.25
39.75,13.25,40.25,13.25
40.25,13.25,40.25,10.75
39.75,10.75,39.75,8.75
41.25,15.25,39.75,15.25
40.25,10.75,39.75,10.75
39.75,8.75,41.25,8.75
41.25,8.75,41.5,8.25
42,8.25,42.25,8.75
42,8.25,41.5,8.25
44.25,15.25,44.25,8.75
44.25,8.75,45.75,8.75
45.75,8.75,46,8.25
46,8.25,46.5,8.25
46.5,8.25,46.75,8.75
46.75,15.25,48.25,15.25
48.75,15.25,50.25,15.25
48.25,15.25,48.25,13.25
48.25,13.25,47.75,13.25
47.75,13.25,47.75,10.75
47.75,10.75,48.25,10.75
48.25,10.75,48.25,8.75
48.25,8.75,46.75,8.75
48.75,15.25,48.75,13.25
48.75,13.25,49.25,13.25
49.25,13.25,49.25,10.75
49.25,10.75,48.75,10.75
48.75,10.75,48.75,8.75
51.25,15.25,52.75,15.25
53.25,15.25,54.75,15.25
52.75,15.25,52.75,8.75
52.75,8.75,51.25,8.75
51.25,8.75,51,8.25
51,8.25,50.5,8.25
50.5,8.25,50.25,8.75
50.25,8.75,48.75,8.75
53.25,15.25,53.25,8.75
53.25,8.75,54.75,8.75
54.75,8.75,55,8.25
55,8.25,55.5,8.25
55.5,8.25,55.75,8.75
55.75,8.75,56.25,8.75
55.75,15.25,57.25,15.25
56.25,8.75,56.25,7.25
56.25,7.25,57.25,7.25
57.25,7.25,57.5,8.25
57.5,8.25,57.25,8.25
57.25,8.25,57.25,15.25
63.25,15.25,58.75,15.25
58.75,15.25,58.75,10.75
58.75,10.75,63.25,10.75
63.25,10.75,63.25,10.25
62.75,10.75,62.75,11.75
62.75,12.75,62.75,15.25
62.75,11.75,61.75,11.75
64.25,10.75,64.25,10.25
64.25,10.5,64.25,11.5
64.25,10.75,64.75,10.75
64.75,10.75,64.75,12.25
64.75,12.25,65.25,12.5
65.25,12.5,65.25,13.5
65.25,13.5,64.75,13.75
64.75,13.75,64.75,15.25
